Series Name,SeriesCode,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , .. , .. , .. , .. , .. , 0.00 , 0.00 , 0.09 , 0.11 , 1.22 , 2.11 , 1.90 , 1.84 , 3.55 , 4.00 , 5.00 , 5.45 , 5.90 , 7.00 , 8.26 , 11.00 , 13.50 , 16.80 , 17.60 , 18.40 , .. , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 0.01 , 0.03 , 0.05 , 0.07 , 0.08 , 0.11 , 0.33 , 0.39 , 0.97 , 2.42 , 6.04 , 9.61 , 15.04 , 23.86 , 41.20 , 45.00 , 47.00 , 49.40 , 51.80 , 54.30 , 56.90 , 59.60 , 62.40 , 65.40 , 68.55 , 72.24 , 79.32 , 82.61 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , 0.00 , 0.00 , 0.00 , 0.01 , 0.02 , 0.20 , 0.49 , 0.65 , 1.59 , 2.20 , 4.63 , 5.84 , 7.38 , 9.45 , 10.18 , 11.23 , 12.50 , 14.90 , 18.20 , 22.50 , 29.50 , 38.20 , 42.95 , 47.69 , 49.04 , 58.98 , 63.95 , 70.77 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , 1.53 , 3.05 , 6.89 , 7.64 , 10.54 , .. , 11.26 , 13.55 , 26.84 , 37.61 , 48.94 , 70.87 , 70.04 , 78.53 , 81.00 , 81.00 , 82.70 , 84.40 , 86.10 , 87.90 , 89.70 , 91.57 , .. , 90.72 , 93.21 , 93.90 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , 0.00 , 0.01 , 0.02 , 0.07 , 0.11 , 0.14 , 0.27 , 0.37 , 0.46 , 1.14 , 1.50 , 1.70 , 1.90 , 2.30 , 2.80 , 4.70 , 7.70 , 13.00 , 21.40 , 22.00 , 23.20 , 26.00 , 29.00 , 32.13 , 32.55 , 32.60 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 2.20 , 2.86 , 3.48 , 4.07 , 5.30 , 6.48 , 8.90 , 12.50 , 17.23 , 24.27 , 27.00 , 30.00 , 34.00 , 38.00 , 42.00 , 47.00 , 52.00 , 58.00 , 63.40 , 67.78 , 70.00 , 73.00 , .. , .. , 95.71 , 95.69 , 95.66 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , 0.00 , 0.03 , 0.04 , 0.09 , 0.14 , 0.28 , 0.83 , 3.28 , 7.04 , 9.78 , 10.88 , 11.91 , 16.04 , 17.72 , 20.93 , 25.95 , 28.11 , 34.00 , 45.00 , 51.00 , 55.80 , 59.90 , 64.70 , 68.04 , 70.97 , 74.29 , 77.70 , 79.95 , 85.51 , 87.15 , 88.38 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , 0.01 , 0.05 , 0.09 , 0.11 , 0.13 , 0.97 , 1.30 , 1.63 , 1.96 , 4.58 , 4.90 , 5.25 , 5.63 , 6.02 , 6.21 , 15.30 , 25.00 , 32.00 , 37.50 , 41.90 , 54.62 , 59.10 , 64.35 , 64.74 , 68.25 , 66.54 , 76.51 , 78.61 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , 2.77 , .. , .. , 4.51 , 15.44 , 17.10 , 18.80 , 20.80 , 23.00 , 25.40 , 28.00 , 30.90 , 52.00 , 58.00 , 62.00 , 69.00 , 74.00 , 78.90 , 83.78 , 88.66 , 93.54 , 97.17 , .. , .. , .. , .. , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.59 , 1.10 , 1.77 , 1.97 , 2.23 , 2.76 , 3.28 , 16.37 , 30.81 , 40.78 , 46.76 , 52.69 , .. , .. , .. , 63.00 , 66.00 , 69.45 , 71.67 , 74.25 , 76.00 , 79.49 , 79.00 , 83.45 , 84.00 , 84.56 , 86.54 , 86.55 , 90.00 , 93.61 , 96.39 , 96.24 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.13 , 0.26 , 0.64 , 0.77 , 1.39 , 1.89 , 6.91 , 9.53 , 15.42 , 23.04 , 33.73 , 39.19 , 36.56 , 42.70 , 54.28 , 58.00 , 63.60 , 69.37 , 72.87 , 73.45 , 75.17 , 78.74 , 80.03 , 80.62 , 81.00 , 83.94 , 84.32 , 87.94 , 87.48 , 87.75 , 87.53 , 92.53 , 93.61 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , 0.00 , 0.00 , 0.01 , 0.03 , 0.04 , 0.10 , 0.15 , 0.31 , 5.00 , .. , .. , 8.03 , 11.99 , 14.54 , 17.08 , 27.40 , 46.00 , 50.00 , 54.20 , 73.00 , 75.00 , 77.00 , 78.20 , 79.00 , 79.80 , 81.10 , 84.60 , 86.00 , .. , .. 
